"area_code","area_name"
"110100","北京市"
"442000","中山市"
"442100","东沙群岛"
"445100","潮州市"
"441900","东莞市"
"440100","广州市"
"440600","佛山市"
"441600","河源市"
"441300","惠州市"
"445200","揭阳市"
"440700","江门市"
"440900","茂名市"
"441400","梅州市"
"441500","汕尾市"
"440500","汕头市"
"440200","韶关市"
"441800","清远市"
"440300","深圳市"
"441700","阳江市"
"445300","云浮市"
"440800","湛江市"
"440400","珠海市"
"441200","肇庆市"
"350100","福州市"
"350800","龙岩市"
"350700","南平市"
"350900","宁德市"
"350300","莆田市"
"350200","厦门市"
"350400","三明市"
"350500","泉州市"
"350600","漳州市"
"460400","儋州市"
"460100","海口市"
"460200","三亚市"
"460300","三沙市"
"469025","白沙黎族自治县"
"469029","保亭黎族苗族自治县"
"469026","昌江黎族自治县"
"469023","澄迈县"
"469021","定安县"
"469007","东方市"
"469027","乐东黎族自治县"
"469024","临高县"
"469028","陵水黎族自治县"
"469002","琼海市"
"469030","琼中黎族苗族自治县"
"469022","屯昌县"
"469006","万宁市"
"469005","文昌市"
"469001","五指山市"
"140200","大同市"
"140500","晋城市"
"140700","晋中市"
"141100","吕梁市"
"141000","临汾市"
"140600","朔州市"
"140100","太原市"
"140900","忻州市"
"140300","阳泉市"
"140400","长治市"
"140800","运城市"
"520400","安顺市"
"520500","毕节市"
"520100","贵阳市"
"520200","六盘水市"
"522300","黔西南布依族苗族自治州"
"522600","黔东南苗族侗族自治州"
"522700","黔南布依族苗族自治州"
"520600","铜仁市"
"520300","遵义市"
"450500","北海市"
"451000","百色市"
"451400","崇左市"
"450600","防城港市"
"450300","桂林市"
"450800","贵港市"
"451200","河池市"
"451100","贺州市"
"451300","来宾市"
"450200","柳州市"
"450100","南宁市"
"450700","钦州市"
"450400","梧州市"
"450900","玉林市"
"620400","白银市"
"623000","甘南藏族自治州"
"621100","定西市"
"620200","嘉峪关市"
"620900","酒泉市"
"620300","金昌市"
"620100","兰州市"
"621200","陇南市"
"622900","临夏回族自治州"
"620800","平凉市"
"621000","庆阳市"
"620500","天水市"
"620600","武威市"
"620700","张掖市"
"410500","安阳市"
"410600","鹤壁市"
"410800","焦作市"
"410200","开封市"
"411100","漯河市"
"410300","洛阳市"
"410900","濮阳市"
"411300","南阳市"
"410400","平顶山市"
"411400","商丘市"
"411200","三门峡市"
"411500","信阳市"
"410700","新乡市"
"411000","许昌市"
"410100","郑州市"
"411600","周口市"
"411700","驻马店市"
"419001","济源市"
"130600","保定市"
"130900","沧州市"
"130800","承德市"
"130400","邯郸市"
"131100","衡水市"
"131000","廊坊市"
"130300","秦皇岛市"
"130100","石家庄市"
"130200","唐山市"
"130500","邢台市"
"130700","张家口市"
"340800","安庆市"
"340300","蚌埠市"
"341600","亳州市"
"341100","滁州市"
"341700","池州市"
"341200","阜阳市"
"340400","淮南市"
"340100","合肥市"
"340600","淮北市"
"341000","黄山市"
"340500","马鞍山市"
"341500","六安市"
"340700","铜陵市"
"341300","宿州市"
"340200","芜湖市"
"341800","宣城市"
"430700","常德市"
"431000","郴州市"
"430400","衡阳市"
"431300","娄底市"
"430500","邵阳市"
"430300","湘潭市"
"433100","湘西土家族苗族自治州"
"430900","益阳市"
"431100","永州市"
"430200","株洲市"
"430800","张家界市"
"430600","岳阳市"
"430100","长沙市"
"431200","怀化市"
"310100","上海市"
"420700","鄂州市"
"422800","恩施土家族苗族自治州"
"421100","黄冈市"
"420200","黄石市"
"420800","荆门市"
"421000","荆州市"
"420300","十堰市"
"421300","随州市"
"420600","襄阳市"
"420900","孝感市"
"420100","武汉市"
"421200","咸宁市"
"420500","宜昌市"
"429005","潜江市"
"429021","神农架林区"
"429006","天门市"
"429004","仙桃市"
"230600","大庆市"
"232700","大兴安岭地区"
"230100","哈尔滨市"
"230400","鹤岗市"
"230300","鸡西市"
"231100","黑河市"
"230800","佳木斯市"
"231000","牡丹江市"
"230900","七台河市"
"230200","齐齐哈尔市"
"231200","绥化市"
"230500","双鸭山市"
"230700","伊春市"
"152900","阿拉善盟"
"150800","巴彦淖尔市"
"150200","包头市"
"150400","赤峰市"
"150600","鄂尔多斯市"
"150100","呼和浩特市"
"150700","呼伦贝尔市"
"150300","乌海市"
"150900","乌兰察布市"
"152500","锡林郭勒盟"
"150500","通辽市"
"152200","兴安盟"
"640400","固原市"
"640200","石嘴山市"
"640300","吴忠市"
"640100","银川市"
"640500","中卫市"
"361000","抚州市"
"360700","赣州市"
"360800","吉安市"
"360200","景德镇市"
"360400","九江市"
"360100","南昌市"
"360300","萍乡市"
"361100","上饶市"
"360500","新余市"
"360900","宜春市"
"360600","鹰潭市"
"320400","常州市"
"320800","淮安市"
"320700","连云港市"
"320100","南京市"
"320600","南通市"
"321300","宿迁市"
"320500","苏州市"
"321200","泰州市"
"320200","无锡市"
"320300","徐州市"
"320900","盐城市"
"321000","扬州市"
"321100","镇江市"
"220600","白山市"
"220800","白城市"
"220200","吉林市"
"220400","辽源市"
"220300","四平市"
"220700","松原市"
"220500","通化市"
"222400","延边朝鲜族自治州"
"220100","长春市"
"210500","本溪市"
"210300","鞍山市"
"211300","朝阳市"
"210200","大连市"
"210600","丹东市"
"210900","阜新市"
"210400","抚顺市"
"211400","葫芦岛市"
"210700","锦州市"
"211000","辽阳市"
"211100","盘锦市"
"211200","铁岭市"
"210100","沈阳市"
"210800","营口市"
"371600","滨州市"
"371400","德州市"
"370500","东营市"
"371700","菏泽市"
"370800","济宁市"
"370100","济南市"
"371500","聊城市"
"371200","莱芜市"
"371300","临沂市"
"371100","日照市"
"370200","青岛市"
"370900","泰安市"
"371000","威海市"
"370700","潍坊市"
"370600","烟台市"
"370300","淄博市"
"370400","枣庄市"
"652900","阿克苏地区"
"654300","阿勒泰地区"
"652800","巴音郭楞蒙古自治州"
"652700","博尔塔拉蒙古自治州"
"652300","昌吉回族自治州"
"650500","哈密市"
"653200","和田地区"
"653100","喀什地区"
"653000","克孜勒苏柯尔克孜自治州"
"650200","克拉玛依市"
"654200","塔城地区"
"650400","吐鲁番市"
"650100","乌鲁木齐市"
"654000","伊犁哈萨克自治州"
"659002","阿拉尔市"
"659005","北屯市"
"659008","可克达拉市"
"659009","昆玉市"
"659001","石河子市"
"659007","双河市"
"659006","铁门关市"
"659003","图木舒克市"
"659004","五家渠市"
"120100","天津市"
"632600","果洛藏族自治州"
"630200","海东市"
"632500","海南藏族自治州"
"632200","海北藏族自治州"
"632800","海西蒙古族藏族自治州"
"632300","黄南藏族自治州"
"630100","西宁市"
"632700","玉树藏族自治州"
"610900","安康市"
"610300","宝鸡市"
"610700","汉中市"
"611000","商洛市"
"610100","西安市"
"610200","铜川市"
"610400","咸阳市"
"610500","渭南市"
"610600","延安市"
"610800","榆林市"
"542500","阿里地区"
"540300","昌都市"
"540100","拉萨市"
"540400","林芝市"
"542400","那曲地区"
"540500","山南市"
"540200","日喀则市"
"513200","阿坝藏族羌族自治州"
"511900","巴中市"
"510100","成都市"
"511700","达州市"
"510800","广元市"
"511600","广安市"
"510600","德阳市"
"513300","甘孜藏族自治州"
"511100","乐山市"
"513400","凉山彝族自治州"
"510500","泸州市"
"511400","眉山市"
"510700","绵阳市"
"511300","南充市"
"511000","内江市"
"510400","攀枝花市"
"510900","遂宁市"
"511800","雅安市"
"511500","宜宾市"
"512000","资阳市"
"510300","自贡市"
"530500","保山市"
"532300","楚雄彝族自治州"
"532900","大理白族自治州"
"533100","德宏傣族景颇族自治州"
"533400","迪庆藏族自治州"
"532500","红河哈尼族彝族自治州"
"530900","临沧市"
"530100","昆明市"
"530700","丽江市"
"533300","怒江傈僳族自治州"
"530800","普洱市"
"530300","曲靖市"
"532600","文山壮族苗族自治州"
"532800","西双版纳傣族自治州"
"530600","昭通市"
"530400","玉溪市"
"330500","湖州市"
"330100","杭州市"
"330400","嘉兴市"
"330700","金华市"
"331100","丽水市"
"330200","宁波市"
"330800","衢州市"
"330600","绍兴市"
"331000","台州市"
"330300","温州市"
"330900","舟山市"
"710100","台北市"
"710200","高雄市"
"710300","台南市"
"710400","台中市"
"710500","金门县"
"710600","南投县"
"710700","基隆市"
"710800","新竹市"
"710900","嘉义市"
"711100","新北市"
"711200","宜兰县"
"711300","新竹县"
"711400","桃园县"
"711500","苗栗县"
"711700","彰化县"
"711900","嘉义县"
"712100","云林县"
"712400","屏东县"
"712500","台东县"
"712600","花莲县"
"712700","澎湖县"
"712800","连江县"
"500100","重庆市"
"820100","澳门"
"810100","香港"
